Date,AAPL,MSFT
2020-01-02,72.53850555419922,152.79112243652344
2020-01-03,71.83328247070312,150.8885955810547
2020-01-06,72.40568542480469,151.2786102294922
2020-01-07,72.06517028808594,149.89927673339844
2020-01-08,73.22441864013672,152.2869415283203
2020-01-09,74.7797622680664,154.18946838378906
2020-01-10,74.94882202148438,153.4760284423828
2020-01-13,76.55003356933594,155.32144165039062
2020-01-14,75.5163803100586,154.2275390625
2020-01-15,75.1927490234375,155.22634887695312
2020-01-16,76.13465118408203,158.07064819335938
2020-01-17,76.97752380371094,158.9552764892578
2020-01-21,76.45586395263672,158.384521484375
2020-01-22,76.7287826538086,157.6234893798828
2020-01-23,77.09831237792969,158.59376525878906
2020-01-24,76.87609100341797,156.9956817626953
2020-01-27,74.61552429199219,154.3701934814453
2020-01-28,76.72635650634766,157.39524841308594
2020-01-29,78.33243560791016,159.84947204589844
2020-01-30,78.2188949584961,164.35841369628906
2020-01-31,74.75077819824219,161.93267822265625
2020-02-03,74.54548645019531,165.8804473876953
2020-02-04,77.00651550292969,171.3406524658203
2020-02-05,77.63444519042969,171.1313934326172
2020-02-06,78.54253387451172,174.67962646484375
2020-02-07,77.47493743896484,174.92689514160156
2020-02-10,77.84291076660156,179.50245666503906
2020-02-11,77.37326049804688,175.45005798339844
2020-02-12,79.210693359375,175.7069854736328
2020-02-13,78.64662170410156,174.7556915283203
2020-02-14,78.66600799560547,176.3157501220703
2020-02-18,77.22557830810547,178.10415649414062
2020-02-19,78.34400939941406,178.63827514648438
2020-02-20,77.54029083251953,175.91021728515625
2020-02-21,75.78516387939453,170.3492431640625
2020-02-24,72.18533325195312,163.0045623779297
2020-02-25,69.7402572631836,160.314697265625
2020-02-26,70.84659576416016,162.31781005859375
2020-02-27,66.21548461914062,150.88104248046875
2020-02-28,66.17674255371094,154.5343017578125
2020-03-02,72.33785247802734,164.81687927246094
2020-03-03,70.04046630859375,156.91896057128906
2020-03-04,73.28925323486328,162.68020629882812
2020-03-05,70.9119644165039,158.5977783203125
2020-03-06,69.97024536132812,154.1146240234375
2020-03-09,64.4361572265625,143.6698760986328
2020-03-10,69.07695770263672,153.49459838867188
2020-03-11,66.67786407470703,146.541015625
2020-03-12,60.09312057495117,132.64329528808594
2020-03-13,67.29277038574219,151.50106811523438
2020-03-16,58.63576126098633,129.17124938964844
2020-03-17,61.213985443115234,139.80679321289062
2020-03-18,59.71546936035156,133.92149353027344
2020-03-19,59.25792694091797,136.12489318847656
2020-03-20,55.49589538574219,131.01220703125
2020-03-23,54.316932678222656,129.70542907714844
2020-03-24,59.76630401611328,141.4950714111328
2020-03-25,59.43706512451172,140.14059448242188
2020-03-26,62.564823150634766,148.90655517578125
2020-03-27,59.9744987487793,142.7923126220703
2020-03-30,61.6860466003418,152.83644104003906
2020-03-31,61.56016159057617,150.4327392578125
2020-04-01,58.321048736572266,145.0911407470703
2020-04-02,59.29423141479492,148.09576416015625
2020-04-03,58.44208908081055,146.73178100585938
2020-04-06,63.54042434692383,157.64389038085938
2020-04-07,62.804500579833984,155.9459991455078
2020-04-08,64.41193389892578,157.51036071777344
2020-04-09,64.87674713134766,157.5198974609375
2020-04-13,66.15013122558594,157.872802734375
2020-04-14,69.49092102050781,165.68490600585938
2020-04-15,68.85665130615234,163.94888305664062
2020-04-16,69.40376281738281,168.8708038330078
2020-04-17,68.4620590209961,170.35879516601562
2020-04-20,67.04100799560547,166.982177734375
2020-04-21,64.96875,160.0762481689453
2020-04-22,66.840087890625,165.51324462890625
2020-04-23,66.58102416992188,163.5100860595703
2020-04-24,68.5031967163086,166.49569702148438
2020-04-27,68.55162811279297,166.0187530517578
2020-04-28,67.4404525756836,161.9744110107422
2020-04-29,69.65554809570312,169.24276733398438
2020-04-30,71.12500762939453,170.94061279296875
2020-05-01,69.97994232177734,166.51473999023438
2020-05-04,70.9700698852539,170.58773803710938
2020-05-05,72.03524017333984,172.4191436767578
2020-05-06,72.77845001220703,174.1169891357422
2020-05-07,73.5313491821289,175.1280975341797
2020-05-08,75.28150177001953,176.1582489013672
2020-05-11,76.46609497070312,178.1232147216797
2020-05-12,75.59222412109375,174.08837890625
2020-05-13,74.67948913574219,171.45570373535156
2020-05-14,75.13829040527344,172.19973754882812
2020-05-15,74.694091796875,174.70838928222656
2020-05-18,76.45396423339844,176.3776397705078
2020-05-19,76.01215362548828,175.15670776367188
2020-05-20,77.4904556274414,177.58624267578125
2020-05-21,76.9127197265625,175.4532012939453
2020-05-22,77.40792846679688,175.52972412109375
2020-05-26,76.88362121582031,173.67408752441406
2020-05-27,77.21858978271484,173.9036865234375
2020-05-28,77.25255584716797,173.5115203857422
2020-05-29,77.17733001708984,175.2810516357422
2020-06-01,78.12645721435547,174.8793182373047
2020-06-02,78.48812866210938,176.86886596679688
2020-06-03,78.92020416259766,177.29930114746094
2020-06-04,78.24053955078125,174.96534729003906
2020-06-05,80.4688949584961,179.05931091308594
2020-06-08,80.94467163085938,180.16879272460938
2020-06-09,83.5007553100586,181.54620361328125
2020-06-10,85.6490249633789,188.28001403808594
2020-06-11,81.53697204589844,178.1697235107422
2020-06-12,82.24090576171875,179.5757598876953
2020-06-15,83.25799560546875,180.7236328125
2020-06-16,85.46453857421875,185.15225219726562
2020-06-17,85.34557342529297,185.79312133789062
2020-06-18,85.37956237792969,187.78271484375
2020-06-19,84.89165496826172,186.66354370117188
2020-06-22,87.11275482177734,191.84788513183594
2020-06-23,88.97212982177734,193.12960815429688
2020-06-24,87.40161895751953,189.23660278320312
