Date,MSFT
2020-01-02,152.7910919189453
2020-01-03,150.8885955810547
2020-01-06,151.27859497070312
2020-01-07,149.89930725097656
2020-01-08,152.28692626953125
2020-01-09,154.18946838378906
2020-01-10,153.47605895996094
2020-01-13,155.3214569091797
2020-01-14,154.2275390625
2020-01-15,155.22633361816406
2020-01-16,158.07061767578125
2020-01-17,158.95526123046875
2020-01-21,158.38453674316406
2020-01-22,157.62355041503906
2020-01-23,158.59378051757812
2020-01-24,156.99569702148438
2020-01-27,154.3702392578125
2020-01-28,157.39523315429688
2020-01-29,159.84945678710938
2020-01-30,164.3583984375
2020-01-31,161.93270874023438
2020-02-03,165.88043212890625
2020-02-04,171.34066772460938
2020-02-05,171.1313934326172
2020-02-06,174.67958068847656
2020-02-07,174.9269256591797
2020-02-10,179.50247192382812
2020-02-11,175.45010375976562
2020-02-12,175.70697021484375
2020-02-13,174.75570678710938
2020-02-14,176.31576538085938
2020-02-18,178.10414123535156
2020-02-19,178.63829040527344
2020-02-20,175.91026306152344
2020-02-21,170.34927368164062
2020-02-24,163.0045928955078
2020-02-25,160.31471252441406
2020-02-26,162.3177947998047
2020-02-27,150.8810577392578
2020-02-28,154.5343017578125
2020-03-02,164.81689453125
2020-03-03,156.91896057128906
2020-03-04,162.68023681640625
2020-03-05,158.59771728515625
2020-03-06,154.11463928222656
2020-03-09,143.66990661621094
2020-03-10,153.49459838867188
2020-03-11,146.54098510742188
2020-03-12,132.64329528808594
2020-03-13,151.50103759765625
2020-03-16,129.1712646484375
2020-03-17,139.8068084716797
2020-03-18,133.92149353027344
2020-03-19,136.12486267089844
2020-03-20,131.01223754882812
2020-03-23,129.70545959472656
2020-03-24,141.49510192871094
2020-03-25,140.14060974121094
2020-03-26,148.90658569335938
2020-03-27,142.79234313964844
2020-03-30,152.83645629882812
2020-03-31,150.43272399902344
2020-04-01,145.0911407470703
2020-04-02,148.0957794189453
2020-04-03,146.73179626464844
2020-04-06,157.64389038085938
2020-04-07,155.94607543945312
2020-04-08,157.5103302001953
2020-04-09,157.51988220214844
2020-04-13,157.87283325195312
2020-04-14,165.68487548828125
2020-04-15,163.94891357421875
2020-04-16,168.87075805664062
2020-04-17,170.3588104248047
2020-04-20,166.9821319580078
2020-04-21,160.07623291015625
2020-04-22,165.51319885253906
2020-04-23,163.51014709472656
2020-04-24,166.4956512451172
2020-04-27,166.0187530517578
2020-04-28,161.97439575195312
2020-04-29,169.24273681640625
2020-04-30,170.94064331054688
2020-05-01,166.51480102539062
2020-05-04,170.5877227783203
2020-05-05,172.4191131591797
2020-05-06,174.11700439453125
2020-05-07,175.12808227539062
2020-05-08,176.1582489013672
2020-05-11,178.1231689453125
2020-05-12,174.0883331298828
2020-05-13,171.45571899414062
2020-05-14,172.1997528076172
2020-05-15,174.70835876464844
2020-05-18,176.3776092529297
2020-05-19,175.1566925048828
2020-05-20,177.58624267578125
2020-05-21,175.45321655273438
2020-05-22,175.52972412109375
2020-05-26,173.67408752441406
2020-05-27,173.9036865234375
2020-05-28,173.51148986816406
2020-05-29,175.2810516357422
2020-06-01,174.87928771972656
2020-06-02,176.86886596679688
2020-06-03,177.29933166503906
2020-06-04,174.96536254882812
2020-06-05,179.0592498779297
2020-06-08,180.1688232421875
2020-06-09,181.5462188720703
2020-06-10,188.28005981445312
2020-06-11,178.1697540283203
2020-06-12,179.57579040527344
2020-06-15,180.72357177734375
2020-06-16,185.15223693847656
2020-06-17,185.79312133789062
2020-06-18,187.78268432617188
2020-06-19,186.66357421875
2020-06-22,191.8478546142578
2020-06-23,193.12960815429688
2020-06-24,189.23658752441406
2020-06-25,191.6278533935547
2020-06-26,187.79225158691406
2020-06-29,189.8104705810547
2020-06-30,194.6600341796875
2020-07-01,195.79823303222656
2020-07-02,197.29042053222656
2020-07-06,201.53732299804688
2020-07-07,199.19387817382812
2020-07-08,203.57473754882812
2020-07-09,204.99990844726562
2020-07-10,204.37818908691406
2020-07-13,198.06517028808594
2020-07-14,199.28958129882812
2020-07-15,198.9929962158203
2020-07-16,195.05215454101562
2020-07-17,194.05743408203125
2020-07-20,202.398193359375
2020-07-21,199.67214965820312
2020-07-22,202.5416717529297
2020-07-23,193.732177734375
2020-07-24,192.54612731933594
2020-07-27,194.98521423339844
2020-07-28,193.23483276367188
2020-07-29,195.1860809326172
2020-07-30,195.03305053710938
2020-07-31,196.09475708007812
2020-08-03,207.12338256835938
2020-08-04,204.0146942138672
2020-08-05,203.67996215820312
2020-08-06,206.94163513183594
2020-08-07,203.2399444580078
2020-08-10,199.19387817382812
2020-08-11,194.53562927246094
2020-08-12,200.093017578125
2020-08-13,199.6243133544922
2020-08-14,199.81561279296875
2020-08-17,201.1356201171875
2020-08-18,202.29296875
2020-08-19,201.06568908691406
2020-08-20,205.74478149414062
2020-08-21,204.24899291992188
2020-08-24,204.8914031982422
2020-08-25,207.55691528320312
2020-08-26,212.04421997070312
2020-08-27,217.25064086914062
2020-08-28,219.48471069335938
2020-08-31,216.24391174316406
2020-09-01,217.91224670410156
2020-09-02,222.11187744140625
2020-09-03,208.35276794433594
2020-09-04,205.4282989501953
2020-09-08,194.3155517578125
2020-09-09,202.5902557373047
2020-09-10,196.9139862060547
2020-09-11,195.62911987304688
2020-09-14,196.95236206054688
2020-09-15,200.1835479736328
2020-09-16,196.60716247558594
2020-09-17,194.55526733398438
2020-09-18,192.13906860351562
2020-09-21,194.20050048828125
2020-09-22,198.8795623779297
2020-09-23,192.33079528808594
2020-09-24,194.82371520996094
2020-09-25,199.26312255859375
