Date,KO,PEP
2020-03-16,37.72173309326172,93.98028564453125
2020-03-17,39.32195281982422,106.13813018798828
2020-03-18,37.380008697509766,100.48717498779297
2020-03-19,34.86302185058594,97.51212310791016
2020-03-20,31.920949935913086,86.3681411743164
2020-03-23,31.30420684814453,87.40689849853516
2020-03-24,32.87941360473633,94.60354614257812
2020-03-25,34.67965316772461,93.48997497558594
2020-03-26,36.91330337524414,99.93870544433594
2020-03-27,35.6797981262207,100.10490417480469
2020-03-30,37.505035400390625,104.27664184570312
2020-03-31,36.87995529174805,99.80574035644531
2020-04-01,35.10472869873047,98.16032409667969
2020-04-02,36.62992477416992,102.93038940429688
2020-04-03,36.529911041259766,103.53704071044922
2020-04-06,38.896888732910156,108.99686431884766
2020-04-07,38.76354217529297,108.43175506591797
2020-04-08,39.8553581237793,110.20182800292969
2020-04-09,40.83882522583008,111.04946899414062
2020-04-13,39.113590240478516,108.77246856689453
2020-04-14,40.77214050292969,115.01344299316406
2020-04-15,39.680328369140625,112.21288299560547
2020-04-16,39.255271911621094,112.71983337402344
2020-04-17,40.05537796020508,114.30707550048828
2020-04-20,38.78021240234375,111.81401824951172
2020-04-21,37.821746826171875,108.81403350830078
2020-04-22,38.071781158447266,110.21011352539062
2020-04-23,37.56338119506836,108.24894714355469
2020-04-24,37.86343002319336,111.65611267089844
2020-04-27,38.98857116699219,111.73925018310547
2020-04-28,38.95523452758789,113.28494262695312
2020-04-29,39.271949768066406,110.82510375976562
2020-04-30,38.246803283691406,109.9358901977539
2020-05-01,38.00510025024414,108.14921569824219
2020-05-04,37.62172317504883,108.79740142822266
2020-05-05,37.838409423828125,109.42066955566406
2020-05-06,37.29668426513672,108.68106842041016
2020-05-07,37.171653747558594,109.32096099853516
2020-05-08,38.430171966552734,111.5480728149414
2020-05-11,37.95510482788086,111.67274475097656
2020-05-12,37.35502243041992,110.47607421875
2020-05-13,36.62158203125,110.49268341064453
2020-05-14,36.42155456542969,110.59241485595703
2020-05-15,36.054847717285156,112.9774398803711
2020-05-18,37.48003387451172,112.6200942993164
2020-05-19,37.12165451049805,109.47051239013672
2020-05-20,38.246803283691406,109.0799331665039
2020-05-21,37.646724700927734,108.20736694335938
2020-05-22,37.530052185058594,108.43175506591797
2020-05-26,38.413490295410156,107.82512664794922
2020-05-27,38.9468994140625,108.70599365234375
2020-05-28,39.2469367980957,109.9358901977539
2020-05-29,38.90522766113281,109.32096099853516
2020-06-01,39.163597106933594,110.51762390136719
2020-06-02,39.088584899902344,110.21846771240234
2020-06-03,39.92203140258789,110.37635803222656
2020-06-04,39.93869400024414,109.34877014160156
2020-06-05,40.9138298034668,110.91485595703125
2020-06-08,41.54723358154297,110.72221374511719
2020-06-09,40.83882522583008,111.35869598388672
2020-06-10,40.52210998535156,112.3302001953125
2020-06-11,37.95510482788086,107.06245422363281
2020-06-12,38.35037612915039,108.033935546875
2020-06-15,38.9390869140625,109.27339935302734
2020-06-16,39.334373474121094,110.26998901367188
2020-06-17,39.17457962036133,110.3453598022461
2020-06-18,39.51940155029297,111.19957733154297
2020-06-19,38.70359802246094,109.94336700439453
2020-06-22,38.46812438964844,109.7507553100586
2020-06-23,38.38401412963867,110.01036834716797
2020-06-24,37.55140686035156,108.5029067993164
2020-06-25,37.786903381347656,110.05226135253906
2020-06-26,36.64311218261719,107.97532653808594
2020-06-29,37.307518005371094,109.77589416503906
2020-06-30,37.57664108276367,110.76408386230469
2020-07-01,37.69438171386719,110.84785461425781
2020-07-02,37.74484634399414,111.25822448730469
2020-07-06,38.03919982910156,111.63506317138672
2020-07-07,38.022377014160156,111.8611831665039
2020-07-08,37.904640197753906,112.40555572509766
2020-07-09,36.92905807495117,111.14094543457031
2020-07-10,37.9719123840332,112.60653686523438
2020-07-13,38.05602264404297,112.98340606689453
2020-07-14,38.577457427978516,113.49424743652344
