Date,KO,PEP,Spread_Diff,Z,Signal
2020-02-27,45.695194244384766,112.56637573242188,-66.87118148803711,2.6394442961200144,ENTER: Short KO / Long PEP
2020-03-27,35.92512130737305,100.10491180419922,-64.17979049682617,0.17489463825456597,Exit
2020-05-15,36.302757263183594,112.9774169921875,-76.6746597290039,-2.4325832267471856,ENTER: Long KO / Short PEP
2020-05-19,37.37690353393555,109.47051239013672,-72.09360885620117,0.06618133558624259,Exit
2020-06-30,37.83501434326172,110.76408386230467,-72.92906951904295,-2.294384779579221,ENTER: Long KO / Short PEP
2020-07-20,39.05440902709961,111.47595977783205,-72.42155075073244,-0.24359864002720788,Exit
2020-09-02,43.34768295288086,120.00140380859376,-76.6537208557129,-2.644825491681966,ENTER: Long KO / Short PEP
2020-10-06,41.777854919433594,114.46218872070312,-72.68433380126953,0.022358173859775524,Exit
2020-10-13,42.87052536010742,121.07516479492188,-78.20463943481445,-2.0746400398978175,ENTER: Long KO / Short PEP
2020-10-26,42.511993408203125,116.45284271240234,-73.94084930419922,-0.20247426195157467,Exit
2021-01-22,41.7182731628418,117.732666015625,-76.0143928527832,2.28323833507789,ENTER: Short KO / Long PEP
2021-02-05,42.716270446777344,119.74598693847656,-77.02971649169922,0.15091103965732988,Exit
2021-02-11,43.27549743652344,114.657470703125,-71.38197326660156,3.2239165711661837,ENTER: Short KO / Long PEP
2021-03-16,44.433807373046875,114.75098419189452,-70.31717681884764,0.1762383591651457,Exit
2021-03-23,44.58128356933594,119.41775512695312,-74.83647155761719,-2.122680496358282,ENTER: Long KO / Short PEP
2021-04-27,46.48112869262695,122.35482788085938,-75.87369918823242,-0.2005565155859698,Exit
2021-05-25,47.53082275390625,126.98731994628906,-79.45649719238281,-2.007104977084636,ENTER: Long KO / Short PEP
2021-05-27,48.138065338134766,125.45455932617188,-77.31649398803711,0.1397815689429401,Exit
2021-06-30,47.29461669921875,127.80294036865234,-80.5083236694336,-2.303522929641646,ENTER: Long KO / Short PEP
2021-08-05,49.38358688354492,133.0989532470703,-83.71536636352539,-0.21327368947542957,Exit
2021-08-19,49.6982307434082,137.06661987304688,-87.36838912963867,-2.02357411035229,ENTER: Long KO / Short PEP
2021-08-27,48.64064025878906,133.6423797607422,-85.00173950195312,0.16916845360774047,Exit
2021-09-30,46.20730209350586,130.62428283691406,-84.4169807434082,2.095753332304081,ENTER: Short KO / Long PEP
2021-11-30,46.547882080078125,138.76168823242188,-92.21380615234375,-0.013241674729656384,Exit
2021-12-03,47.51522445678711,144.009765625,-96.49454116821289,-2.917926939298218,ENTER: Long KO / Short PEP
2022-01-31,54.14462661743164,151.71253967285156,-97.56791305541992,0.23864167357644023,Exit
2022-02-07,54.668235778808594,150.2174072265625,-95.5491714477539,2.141130349234516,ENTER: Short KO / Long PEP
2022-03-18,53.745323181152344,143.26719665527344,-89.5218734741211,0.12856290053735833,Exit
2022-04-06,56.42811584472656,151.71591186523438,-95.28779602050781,-2.124027959930134,ENTER: Long KO / Short PEP
2022-04-29,57.77845764160156,151.1174774169922,-93.33901977539062,-0.13028300618463617,Exit
2022-05-18,54.72901916503906,144.0240478515625,-89.29502868652344,2.768972072568948,ENTER: Short KO / Long PEP
2022-05-27,57.841060638427734,151.17027282714844,-93.3292121887207,-0.24457130474456182,Exit
2022-06-13,54.85419845581055,141.56080627441406,-86.70660781860352,2.1508715529374323,ENTER: Short KO / Long PEP
2022-06-23,55.73691940307617,145.42459106445312,-89.68767166137695,0.10547707538328714,Exit
2022-07-08,56.87183380126953,152.3192138671875,-95.44738006591797,-2.0157164392424964,ENTER: Long KO / Short PEP
2022-08-26,56.84480285644531,155.11953735351562,-98.27473449707031,-0.11301959638440277,Exit
2022-09-13,54.46689987182617,149.35491943359375,-94.88801956176758,2.406345488548116,ENTER: Short KO / Long PEP
2022-09-26,52.50504302978515,150.28277587890625,-97.7777328491211,0.16132400887272474,Exit
2022-10-12,50.028133392333984,151.12136840820312,-101.09323501586914,-2.763010355065743,ENTER: Long KO / Short PEP
2022-11-11,55.63520050048828,158.8474578857422,-103.2122573852539,-0.04301148972869969,Exit
2023-01-05,56.83385467529297,158.9853973388672,-102.15154266357422,2.3297654345287397,ENTER: Short KO / Long PEP
2023-02-09,54.4764404296875,155.10728454589844,-100.63084411621094,-0.1104832543081027,Exit
2023-03-24,56.072845458984375,161.85830688476562,-105.78546142578125,-2.061761208991126,ENTER: Long KO / Short PEP
2023-05-22,56.634490966796875,168.68186950683594,-112.04737854003906,0.23469515321829051,Exit
2023-07-13,55.9896240234375,170.67018127441406,-114.68055725097656,-2.2609152879864856,ENTER: Long KO / Short PEP
2023-07-18,56.19373321533203,167.8671112060547,-111.67337799072266,0.09637827080729437,Exit
2023-07-21,57.928619384765625,173.06375122070312,-115.1351318359375,-2.0657592465094936,ENTER: Long KO / Short PEP
2023-07-31,57.45546340942383,170.6064910888672,-113.15102767944336,-0.021884902666335106,Exit
2023-08-15,56.1009635925293,165.0458221435547,-108.94485855102539,2.157800882939807,ENTER: Short KO / Long PEP
2023-09-11,54.62583541870117,163.98898315429688,-109.3631477355957,-0.2050922115390868,Exit
2023-09-27,52.31935501098633,155.41058349609375,-103.09122848510742,2.0745249525801928,ENTER: Short KO / Long PEP
2023-11-02,53.3853759765625,152.89938354492188,-99.51400756835938,-0.08884770354664713,Exit
2023-12-13,56.48731994628906,158.84893798828125,-102.36161804199219,-3.0250633995608913,ENTER: Long KO / Short PEP
2023-12-14,55.6484489440918,155.37660217285156,-99.72815322875977,0.14088698961893859,Exit
