AAPL,MSFT,Spread_Diff
72.53850555419922,152.79112243652344,-80.25261688232422
71.83328247070312,150.8885955810547,-79.05531311035156
72.40568542480469,151.2786102294922,-78.8729248046875
72.06517028808594,149.89927673339844,-77.8341064453125
73.22441864013672,152.2869415283203,-79.0625228881836
74.7797622680664,154.18946838378906,-79.40970611572266
74.94882202148438,153.4760284423828,-78.52720642089844
76.55003356933594,155.32144165039062,-78.77140808105469
75.5163803100586,154.2275390625,-78.7111587524414
75.1927490234375,155.22634887695312,-80.03359985351562
76.13465118408203,158.07064819335938,-81.93599700927734
76.97752380371094,158.9552764892578,-81.97775268554688
76.45586395263672,158.384521484375,-81.92865753173828
76.7287826538086,157.6234893798828,-80.89470672607422
77.09831237792969,158.59376525878906,-81.49545288085938
76.87609100341797,156.9956817626953,-80.11959075927734
74.61552429199219,154.3701934814453,-79.75466918945312
76.72635650634766,157.39524841308594,-80.66889190673828
78.33243560791016,159.84947204589844,-81.51703643798828
78.2188949584961,164.35841369628906,-86.13951873779297
74.75077819824219,161.93267822265625,-87.18190002441406
74.54548645019531,165.8804473876953,-91.3349609375
77.00651550292969,171.3406524658203,-94.33413696289062
77.63444519042969,171.1313934326172,-93.4969482421875
78.54253387451172,174.67962646484375,-96.13709259033203
77.47493743896484,174.92689514160156,-97.45195770263672
77.84291076660156,179.50245666503906,-101.6595458984375
77.37326049804688,175.45005798339844,-98.07679748535156
79.210693359375,175.7069854736328,-96.49629211425781
78.64662170410156,174.7556915283203,-96.10906982421875
78.66600799560547,176.3157501220703,-97.64974212646484
77.22557830810547,178.10415649414062,-100.87857818603516
78.34400939941406,178.63827514648438,-100.29426574707031
77.54029083251953,175.91021728515625,-98.36992645263672
75.78516387939453,170.3492431640625,-94.56407928466797
72.18533325195312,163.0045623779297,-90.81922912597656
69.7402572631836,160.314697265625,-90.5744400024414
70.84659576416016,162.31781005859375,-91.4712142944336
66.21548461914062,150.88104248046875,-84.66555786132812
66.17674255371094,154.5343017578125,-88.35755920410156
72.33785247802734,164.81687927246094,-92.4790267944336
70.04046630859375,156.91896057128906,-86.87849426269531
73.28925323486328,162.68020629882812,-89.39095306396484
70.9119644165039,158.5977783203125,-87.6858139038086
69.97024536132812,154.1146240234375,-84.14437866210938
64.4361572265625,143.6698760986328,-79.23371887207031
69.07695770263672,153.49459838867188,-84.41764068603516
66.67786407470703,146.541015625,-79.86315155029297
