Date,KO,PEP,Spread_Diff,Z,Signal
2020-01-02,45.7451057434082,112.11239624023438,-66.36729049682617,1.8066099058623866,
2020-01-03,45.49553680419922,111.95556640625,-66.46002960205078,1.7997262243130954,
2020-01-06,45.478904724121094,112.38478088378906,-66.90587615966797,1.7666326796314717,
2020-01-07,45.12950897216797,110.61833190917967,-65.4888229370117,1.8718153110525693,
2020-01-08,45.21268844604492,111.18789672851562,-65.9752082824707,1.8357127217481684,
2020-01-09,46.0362663269043,111.26217651367188,-65.22591018676758,1.8913303542864417,
2020-01-10,46.19431686401367,111.04756927490234,-64.85325241088867,1.918991365785362,
2020-01-13,46.69344329833984,112.69845581054688,-66.00501251220703,1.8335004637602363,
2020-01-14,46.585304260253906,112.9626235961914,-66.3773193359375,1.8058655021441896,
2020-01-15,47.16761016845703,114.90241241455078,-67.73480224609375,1.7051045551899489,
2020-01-16,47.26744842529297,115.24083709716795,-67.97338867187499,1.687395165250463,
2020-01-17,47.36726760864258,116.60284423828124,-69.23557662963866,1.5937076109490478,
2020-01-21,47.55860900878906,117.09809112548828,-69.53948211669922,1.571149828135202,
2020-01-22,47.92463684082031,118.35279846191406,-70.42816162109375,1.5051864279835852,
2020-01-23,48.107643127441406,118.57565307617188,-70.46800994873047,1.502228633673853,
2020-01-24,47.98286437988281,117.97309112548828,-69.99022674560547,1.5376927176969544,
2020-01-27,47.81649398803711,117.32921600341795,-69.51272201538085,1.5731361317042984,
2020-01-28,47.42550277709961,117.57688903808594,-70.15138626098633,1.525730441590957,
2020-01-29,47.42550277709961,116.99081420898438,-69.56531143188477,1.5692326133859014,
2020-01-30,48.9644775390625,118.72422790527344,-69.75975036621094,1.5548001288213456,
2020-01-31,48.581817626953125,117.23018646240234,-68.64836883544922,1.637293878561528,
2020-02-03,48.7315559387207,117.63462829589844,-68.90307235717773,1.6183881760661711,
2020-02-04,48.947845458984375,118.22073364257812,-69.27288818359375,1.5909381119883452,
2020-02-05,48.9561653137207,119.11219787597656,-70.15603256225586,1.5253855637937854,
2020-02-06,49.07262420654297,119.13697052001952,-70.06434631347655,1.5321910956944575,
2020-02-07,49.23900604248047,119.99541473388672,-70.75640869140625,1.4808218592717508,
2020-02-10,49.7048454284668,120.23477172851562,-70.52992630004883,1.4976328114030066,
2020-02-11,49.57176208496094,120.58151245117188,-71.00975036621094,1.4620172416479786,
2020-02-12,49.42201614379883,120.58151245117188,-71.15949630737305,1.4509021530371677,
2020-02-13,49.58839797973633,120.9034194946289,-71.31502151489258,1.4393580908116486,
2020-02-14,49.87123107910156,121.33267211914062,-71.46144104003906,1.428489909786333,
2020-02-18,49.52184295654297,120.1852798461914,-70.66343688964844,1.4877228130259905,
2020-02-19,49.72148895263672,120.12745666503906,-70.40596771240234,1.5068337999244257,
2020-02-20,49.679901123046875,119.8221206665039,-70.14221954345703,1.5264108532055736,
2020-02-21,50.02098083496094,120.39160919189452,-70.37062835693358,1.509456909869416,
2020-02-24,48.7897834777832,117.74195098876952,-68.95216751098631,1.6147440239729067,
2020-02-25,48.09931945800781,116.47078704833984,-68.37146759033203,1.6578472361486263,
2020-02-26,47.91630554199219,117.19718170166016,-69.28087615966797,1.590345194002075,
2020-02-27,45.695194244384766,112.56637573242188,-66.87118148803711,1.7692079370742262,
2020-02-28,44.497283935546875,108.98394775390624,-64.48666381835936,1.9462018842011142,
2020-03-02,46.51874923706055,113.56519317626952,-67.04644393920897,1.756198852087981,
2020-03-03,46.635215759277344,111.91429901123048,-65.27908325195314,1.8873835138802224,
2020-03-04,49.0143928527832,117.53556823730467,-68.52117538452147,1.6467349790468244,
2020-03-05,47.200889587402344,114.76414489746094,-67.5632553100586,1.7178378511988182,
2020-03-06,45.96970748901367,114.06607055664062,-68.09636306762695,1.6782672296614487,
2020-03-09,43.14131164550781,108.16584014892578,-65.02452850341797,1.9062781734904493,
2020-03-10,44.63870620727539,111.4732894897461,-66.8345832824707,1.7719244868164787,
2020-03-11,43.43247985839844,107.82511901855467,-64.39263916015624,1.953180987603974,
2020-03-12,39.23149108886719,95.85008239746094,-56.61859130859375,2.5302198713574753,ENTER: Short KO / Long PEP
2020-03-13,40.67486572265625,105.91375732421876,-65.23889160156251,1.8903667917710263,
2020-03-16,37.98111343383789,93.98029327392578,-55.99917984008789,2.57619649887449,
2020-03-17,39.59232711791992,106.13813018798828,-66.54580307006836,1.7933595763086607,
2020-03-18,37.63704681396485,100.48719024658205,-62.850143432617195,2.0676747532468984,
2020-03-19,35.10274124145508,97.51211547851562,-62.40937423706055,2.100391424079561,
2020-03-20,32.14044189453125,86.36810302734375,-54.2276611328125,2.707689795148603,
2020-03-23,31.519460678100582,87.4068832397461,-55.88742256164551,2.584491829239708,
2020-03-24,33.10549545288086,94.60353088378906,-61.4980354309082,2.1680367405819156,
2020-03-25,34.918113708496094,93.48997497558594,-58.571861267089844,2.3852358504148596,
2020-03-26,37.167118072509766,99.93871307373048,-62.77159500122072,2.0735051134452216,
2020-03-27,35.92512130737305,100.10491180419922,-64.17979049682617,1.9689799584157783,
2020-03-30,37.76292037963867,104.27664947509766,-66.51372909545898,1.7957403090825672,
2020-03-31,37.133548736572266,99.80574035644533,-62.67219161987306,2.080883459618206,
2020-04-01,35.34609603881836,98.16032409667967,-62.814228057861314,2.0703406189779097,
2020-04-02,36.881797790527344,102.93035125732422,-66.04855346679688,1.8302685793785323,
2020-04-03,36.781097412109375,103.53702545166016,-66.75592803955078,1.777762775240025,
2020-04-06,39.16434097290039,108.9968490600586,-69.8325080871582,1.5493995916904324,
