Date,AAPL
2020-01-02,72.53850555419922
2020-01-03,71.83328247070312
2020-01-06,72.40568542480469
2020-01-07,72.06517028808594
2020-01-08,73.22441864013672
2020-01-09,74.7797622680664
2020-01-10,74.94882202148438
2020-01-13,76.55003356933594
2020-01-14,75.5163803100586
2020-01-15,75.1927490234375
2020-01-16,76.13465118408203
2020-01-17,76.97752380371094
2020-01-21,76.45586395263672
2020-01-22,76.7287826538086
2020-01-23,77.09831237792969
2020-01-24,76.87609100341797
2020-01-27,74.61552429199219
2020-01-28,76.72635650634766
2020-01-29,78.33243560791016
2020-01-30,78.2188949584961
2020-01-31,74.75077819824219
2020-02-03,74.54548645019531
2020-02-04,77.00651550292969
2020-02-05,77.63444519042969
2020-02-06,78.54253387451172
2020-02-07,77.47493743896484
2020-02-10,77.84291076660156
2020-02-11,77.37326049804688
2020-02-12,79.210693359375
2020-02-13,78.64662170410156
2020-02-14,78.66600799560547
2020-02-18,77.22557830810547
2020-02-19,78.34400939941406
2020-02-20,77.54029083251953
2020-02-21,75.78516387939453
2020-02-24,72.18533325195312
2020-02-25,69.7402572631836
2020-02-26,70.84659576416016
2020-02-27,66.21548461914062
2020-02-28,66.17674255371094
2020-03-02,72.33785247802734
2020-03-03,70.04046630859375
2020-03-04,73.28925323486328
2020-03-05,70.9119644165039
2020-03-06,69.97024536132812
2020-03-09,64.4361572265625
2020-03-10,69.07695770263672
2020-03-11,66.67786407470703
2020-03-12,60.09312057495117
2020-03-13,67.29277038574219
2020-03-16,58.63576126098633
2020-03-17,61.213985443115234
2020-03-18,59.71546936035156
2020-03-19,59.25792694091797
2020-03-20,55.49589538574219
2020-03-23,54.316932678222656
2020-03-24,59.76630401611328
2020-03-25,59.43706512451172
2020-03-26,62.564823150634766
2020-03-27,59.9744987487793
2020-03-30,61.6860466003418
2020-03-31,61.56016159057617
2020-04-01,58.321048736572266
2020-04-02,59.29423141479492
2020-04-03,58.44208908081055
2020-04-06,63.54042434692383
2020-04-07,62.804500579833984
2020-04-08,64.41193389892578
2020-04-09,64.87674713134766
2020-04-13,66.15013122558594
2020-04-14,69.49092102050781
2020-04-15,68.85665130615234
2020-04-16,69.40376281738281
2020-04-17,68.4620590209961
2020-04-20,67.04100799560547
2020-04-21,64.96875
2020-04-22,66.840087890625
2020-04-23,66.58102416992188
2020-04-24,68.5031967163086
2020-04-27,68.55162811279297
2020-04-28,67.4404525756836
2020-04-29,69.65554809570312
2020-04-30,71.12500762939453
2020-05-01,69.97994232177734
2020-05-04,70.9700698852539
2020-05-05,72.03524017333984
2020-05-06,72.77845001220703
2020-05-07,73.5313491821289
2020-05-08,75.28150177001953
2020-05-11,76.46609497070312
2020-05-12,75.59222412109375
2020-05-13,74.67948913574219
2020-05-14,75.13829040527344
2020-05-15,74.694091796875
2020-05-18,76.45396423339844
2020-05-19,76.01215362548828
2020-05-20,77.4904556274414
2020-05-21,76.9127197265625
2020-05-22,77.40792846679688
2020-05-26,76.88362121582031
2020-05-27,77.21858978271484
2020-05-28,77.25255584716797
2020-05-29,77.17733001708984
2020-06-01,78.12645721435547
2020-06-02,78.48812866210938
2020-06-03,78.92020416259766
2020-06-04,78.24053955078125
2020-06-05,80.4688949584961
2020-06-08,80.94467163085938
2020-06-09,83.5007553100586
2020-06-10,85.6490249633789
2020-06-11,81.53697204589844
2020-06-12,82.24090576171875
2020-06-15,83.25799560546875
2020-06-16,85.46453857421875
2020-06-17,85.34557342529297
2020-06-18,85.37956237792969
2020-06-19,84.89165496826172
2020-06-22,87.11275482177734
2020-06-23,88.97212982177734
2020-06-24,87.40161895751953
2020-06-25,88.5618896484375
2020-06-26,85.84077453613281
2020-06-29,87.81912231445312
2020-06-30,88.55219268798828
2020-07-01,88.38469696044922
2020-07-02,88.38469696044922
2020-07-06,90.7490234375
2020-07-07,90.46744537353516
2020-07-08,92.57442474365234
2020-07-09,92.97254180908203
2020-07-10,93.13516235351562
2020-07-13,92.70551300048828
2020-07-14,94.23965454101562
2020-07-15,94.88774871826172
2020-07-16,93.72016906738281
2020-07-17,93.53083801269531
2020-07-20,95.50189208984375
2020-07-21,94.18380737304688
2020-07-22,94.44839477539062
2020-07-23,90.14945983886719
2020-07-24,89.92610931396484
2020-07-27,92.05738067626953
2020-07-28,90.54511260986328
2020-07-29,92.28071594238281
2020-07-30,93.3973159790039
2020-07-31,103.17498016357422
2020-08-03,105.77472686767578
2020-08-04,106.4811019897461
2020-08-05,106.8670654296875
2020-08-06,110.59558868408203
2020-08-07,108.08111572265625
2020-08-10,109.65205383300781
2020-08-11,106.39100646972656
2020-08-12,109.92684936523438
2020-08-13,111.87227630615234
2020-08-14,111.77256774902344
2020-08-17,111.4807357788086
2020-08-18,112.4096908569336
2020-08-19,112.55074310302734
2020-08-20,115.04821014404297
2020-08-21,120.97691345214844
2020-08-24,122.423828125
2020-08-25,121.41949462890625
2020-08-26,123.07069396972656
2020-08-27,121.59945678710938
2020-08-28,121.4024887084961
2020-08-31,125.51949310302734
2020-09-01,130.51925659179688
2020-09-02,127.81512451171875
2020-09-03,117.5821304321289
2020-09-04,117.65995025634766
2020-09-08,109.74203491210938
2020-09-09,114.1192398071289
2020-09-10,110.39374542236328
2020-09-11,108.94438934326172
2020-09-14,112.21270751953125
2020-09-15,112.38780975341797
2020-09-16,109.07083892822266
2020-09-17,107.32966613769531
2020-09-18,103.92516326904297
2020-09-21,107.07677459716797
2020-09-22,108.75959014892578
2020-09-23,104.1975326538086
2020-09-24,105.26751708984375
2020-09-25,109.21674346923828
